company,sector,stage_at_observation,location,ceo_personality,team_openness_mean,team_conscientiousness_mean,team_extraversion_mean,team_agreeableness_mean,team_neuroticism_mean,founder_age,founder_prev_exits,founder_experience_years_pre,founder_tech_background,pre_series_a_months_since_founded,pre_series_a_team_size,pre_series_a_release_freq,market_size_usd,pre_series_a_mrr_usd,pre_series_a_growth_3m,pre_series_a_prior_funding_usd,pre_series_a_burn_usd,burn_multiple,pipeline_conversion_rate,competition_density,sector_trend_score_at_investment,buzzword_density,prior_investor_reputation,syndicate_size,prior_investor_followon_rate,pre_series_a_val_rev_ratio,current_employee_count,raised_series_a_36m,exited_36m,shutdown_36m,success_36m,mrr_peak_usd_36m
Quantum Labs,Bio/Health,Pre-Seed,India,Engineer,0.614,0.621,0.271,0.552,0.449,22,0,12,0,25,3,0,24917364.19,0.0,0.136,134066.38,81969.37,20.0,0.266,2,0.456,0.285,0.964,2,0.449,4.819,12,0,0,1,0,0.0
Aero Labs,SaaS,Seed,US,Visionary,0.822,0.543,0.699,0.416,0.484,24,1,6,1,32,9,2,3568535.09,9998.38,0.253,269898.87,45364.11,1.493,0.212,4,0.32,0.196,0.637,2,0.294,4.106,15,0,1,1,0,19956.33
Spark Systems,Hardware,Pre-Seed,India,Engineer,0.568,0.615,0.378,0.593,0.444,34,0,9,1,4,2,0,5286891.13,18536.24,0.126,123198.05,32413.8,1.154,0.037,4,0.542,0.397,0.156,1,0.34,21.52,1,0,0,1,0,31823.92
Eco AI,AI/ML,Pre-Seed,EU,Engineer,0.675,0.777,0.397,0.423,0.375,20,0,11,1,14,4,2,16614609.64,19914.56,0.209,24060.85,19918.7,0.398,0.284,4,0.46,0.333,0.271,3,0.083,15.614,17,1,0,0,1,431971.35
Atlas Logic,Hardware,Seed,SEA,Visionary,0.812,0.622,0.584,0.632,0.395,41,0,13,0,33,15,1,12566449.19,12152.01,-0.046,234926.55,58062.91,20.0,0.03,0,0.813,0.418,0.345,1,0.236,6.173,17,0,0,1,0,22777.26
Atlas Analytics,SaaS,Seed,US,Visionary,0.835,0.573,0.588,0.444,0.384,36,0,7,0,40,24,2,4949232.16,23038.61,0.02,319704.65,93794.59,17.272,0.071,3,0.67,0.397,0.625,2,0.299,25.26,29,0,0,1,0,28930.48
Urban Forge,AI/ML,Pre-Seed,EU,Operator,0.673,0.656,0.526,0.471,0.489,24,0,8,1,39,13,0,74590488.92,0.0,-0.231,363406.06,4954.46,20.0,0.176,3,0.656,0.111,0.729,2,0.431,16.346,15,0,0,1,0,0.0
Spark Cloud,Climate,Seed,India,Visionary,0.757,0.41,0.636,0.396,0.407,32,0,9,1,30,13,2,7768190.5,2051.03,0.276,634635.9,69407.66,10.22,0.018,5,0.524,0.029,0.092,1,0.18,9.617,10,0,0,1,0,3857.49
Nova Bio,SaaS,Seed,EU,Operator,0.497,0.717,0.527,0.489,0.381,44,0,10,1,20,13,0,5307890.61,9868.21,0.336,277055.98,86920.74,2.187,0.204,3,0.504,0.045,0.552,1,0.704,13.166,32,1,0,0,1,285620.25
Hyper Analytics,AI/ML,Pre-Seed,EU,Visionary,0.79,0.595,0.623,0.532,0.458,40,0,4,0,19,2,0,10020934.42,5723.48,0.051,157596.34,49806.14,14.134,0.225,1,0.729,0.034,0.117,3,0.14,9.443,24,1,0,0,1,57513.31
