company,sector,stage_at_observation,location,ceo_personality,team_openness_mean,team_conscientiousness_mean,team_extraversion_mean,team_agreeableness_mean,team_neuroticism_mean,founder_age,founder_prev_exits,founder_experience_years_pre,founder_tech_background,pre_series_a_months_since_founded,pre_series_a_team_size,pre_series_a_release_freq,market_size_usd,pre_series_a_mrr_usd,pre_series_a_growth_3m,pre_series_a_prior_funding_usd,pre_series_a_burn_usd,burn_multiple,pipeline_conversion_rate,competition_density,sector_trend_score_at_investment,buzzword_density,prior_investor_reputation,syndicate_size,prior_investor_followon_rate,pre_series_a_val_rev_ratio,current_employee_count,raised_series_a_36m,exited_36m,shutdown_36m,success_36m,mrr_peak_usd_36m
Flow Grid,AI/ML,Pre-Seed,SEA,Engineer,0.425,0.741,0.319,0.521,0.476,35,0,11,1,21,2,0,7710907.42,44232.13,0.05,254219.49,77723.9,2.911,0.026,3,0.416,0.272,0.409,2,0.337,8.901,16,1,1,0,1,344076.38
Nimbus Systems,Climate,Pre-Seed,EU,Salesperson,0.673,0.388,0.872,0.472,0.49,37,0,6,0,1,2,0,21070582.11,7307.66,0.189,67326.99,49708.82,3.003,0.077,5,0.515,0.419,0.692,1,0.363,5.207,14,1,1,1,0,34111.77
Polar Dynamics,Fintech,Pre-Seed,US,Engineer,0.5,0.667,0.314,0.562,0.433,22,0,12,1,24,2,0,12349848.42,14568.0,0.129,315700.3,78920.6,3.494,0.226,0,0.567,0.07,0.392,2,0.227,3.893,6,0,0,1,0,17047.17
Terra Forge,AI/ML,Seed,Africa,Operator,0.464,0.767,0.561,0.545,0.349,26,0,10,1,38,12,0,19871648.81,22176.77,0.17,219325.84,92811.58,2.054,0.222,4,0.496,0.46,0.144,2,0.558,12.828,17,0,1,1,0,25589.31
Quantum Forge,Fintech,Pre-Seed,US,Operator,0.564,0.679,0.487,0.505,0.521,31,0,10,0,26,2,1,6902962.9,14169.73,0.284,110762.27,25883.14,0.536,0.277,2,0.364,0.29,0.67,1,0.178,7.93,26,1,0,0,1,347891.06
Quantum Systems,Hardware,Seed,LatAm,Operator,0.646,0.795,0.563,0.567,0.431,37,1,18,0,21,12,0,13657328.84,13567.78,0.316,645687.59,81506.25,1.582,0.144,1,0.437,0.277,0.943,1,0.602,5.476,20,1,1,1,0,20084.14
Hyper Stack,Bio/Health,Pre-Seed,SEA,Salesperson,0.689,0.499,0.807,0.64,0.516,30,0,14,0,1,19,1,11287224.42,3814.23,0.267,178163.25,17938.94,1.468,0.164,2,0.531,0.185,0.31,1,0.162,9.798,26,1,1,0,1,103864.83
Zen Pulse,Hardware,Seed,US,Engineer,0.636,0.573,0.466,0.438,0.354,32,1,8,0,32,15,1,7714057.39,0.0,-0.005,491027.6,101992.11,20.0,0.268,6,0.447,0.323,0.247,1,0.351,18.667,19,1,0,1,0,0.0
Eco Cloud,SaaS,Seed,US,Visionary,0.749,0.567,0.679,0.5,0.477,29,0,20,0,28,19,3,23085640.46,50867.88,0.118,964529.63,58629.78,0.811,0.248,1,0.29,0.524,0.416,3,0.565,6.432,21,1,0,1,0,1264768.91
Atlas Bio,Fintech,Seed,SEA,Visionary,0.804,0.423,0.574,0.446,0.48,28,0,15,0,25,16,2,5181546.09,23145.79,0.123,487294.12,97539.18,2.857,0.224,5,0.713,0.1,0.318,3,0.314,15.577,27,1,0,0,1,262346.38
