company,sector,stage_at_observation,location,ceo_personality,team_openness_mean,team_conscientiousness_mean,team_extraversion_mean,team_agreeableness_mean,team_neuroticism_mean,founder_age,founder_prev_exits,founder_experience_years_pre,founder_tech_background,pre_series_a_months_since_founded,pre_series_a_team_size,pre_series_a_release_freq,market_size_usd,pre_series_a_mrr_usd,pre_series_a_growth_3m,pre_series_a_prior_funding_usd,pre_series_a_burn_usd,burn_multiple,pipeline_conversion_rate,competition_density,sector_trend_score_at_investment,buzzword_density,prior_investor_reputation,syndicate_size,prior_investor_followon_rate,pre_series_a_val_rev_ratio,current_employee_count,raised_series_a_36m,exited_36m,shutdown_36m,success_36m,mrr_peak_usd_36m
Aero Dynamics,Hardware,Pre-Seed,US,Operator,0.617,0.739,0.416,0.682,0.433,36,0,10,1,28,2,1,3969105.01,740.22,0.208,298977.89,1142.25,0.619,0.189,3,0.461,0.536,0.297,2,0.381,11.099,2,1,1,1,0,11169.55
Vertex Works,Climate,Seed,EU,Operator,0.499,0.681,0.639,0.509,0.373,35,0,7,0,28,16,0,4441652.47,10199.85,0.2,657235.99,74973.21,3.058,0.184,3,0.615,0.096,0.105,1,0.516,14.376,21,0,0,1,0,14007.46
Vertex AI,DevTools,Seed,SEA,Engineer,0.568,0.712,0.397,0.535,0.395,31,0,14,1,14,3,2,33265711.32,16257.43,0.098,321453.85,15491.97,0.812,0.192,1,0.418,0.263,0.555,2,0.271,15.673,3,1,0,0,1,364511.81
Zen Works,Hardware,Pre-Seed,SEA,Visionary,0.714,0.627,0.797,0.497,0.376,29,0,10,0,5,2,1,11604909.23,14877.88,0.158,193885.23,68067.85,2.408,0.176,4,0.294,0.109,0.65,1,0.343,9.668,2,0,0,1,0,20031.83
Polar OS,Hardware,Pre-Seed,US,Visionary,0.891,0.48,0.717,0.417,0.404,30,0,9,1,11,3,0,25280811.1,13169.37,0.298,399658.65,8301.47,0.176,0.354,2,0.163,0.206,0.175,2,0.254,3.986,3,1,0,0,1,298993.52
Sigma Cloud,Climate,Pre-Seed,EU,Operator,0.48,0.702,0.505,0.513,0.428,33,0,9,0,6,5,1,15786789.52,9265.8,0.168,24546.81,68189.52,3.653,0.092,0,0.257,0.296,0.0,1,0.415,8.224,6,0,0,1,0,11551.97
Zen Systems,Bio/Health,Seed,LatAm,Visionary,0.741,0.533,0.648,0.491,0.427,48,0,9,1,40,9,2,8359691.71,8834.82,0.123,121411.56,79172.9,6.066,0.14,2,0.552,0.142,0.274,1,0.615,8.614,11,0,1,1,0,34741.34
Spark Stack,Hardware,Pre-Seed,India,Engineer,0.608,0.782,0.405,0.619,0.427,28,0,13,1,13,4,1,8260642.12,10370.63,0.036,369106.24,32677.35,7.335,0.236,4,0.388,0.337,0.59,2,0.103,7.464,4,0,0,1,0,13509.93
Atlas Stack,Fintech,Pre-Seed,US,Visionary,0.893,0.575,0.663,0.424,0.404,33,0,5,1,1,9,1,31914563.9,28648.88,-0.002,124006.7,86156.19,20.0,0.156,3,0.155,0.317,0.861,1,0.209,12.831,10,1,1,0,1,162057.21
Vertex Systems,Climate,Seed,UK,Visionary,0.872,0.52,0.633,0.522,0.473,31,0,7,0,29,10,2,123117734.8,7895.85,0.166,806807.45,23578.39,1.5,0.092,1,0.686,0.554,0.38,2,0.448,17.728,13,1,0,1,0,10437.45
Urban Dynamics,Climate,Seed,US,Visionary,0.7,0.527,0.534,0.543,0.584,27,0,13,0,34,12,2,16823846.12,7424.48,0.061,737757.13,70977.86,13.058,0.088,2,0.464,0.401,0.651,3,0.051,8.8,15,1,1,0,1,142515.8
Nimbus Drive,AI/ML,Seed,Africa,Salesperson,0.645,0.509,0.692,0.578,0.303,33,0,7,1,31,18,2,12506522.5,12656.52,0.167,415141.33,42373.39,1.671,0.149,6,0.545,0.217,0.535,4,0.334,15.903,24,1,0,1,0,22914.38
Aero Drive,DevTools,Seed,LatAm,Operator,0.529,0.654,0.508,0.682,0.403,42,0,20,1,38,16,1,37722797.43,15604.09,0.133,137362.48,99958.12,4.026,0.185,7,0.57,0.045,0.359,4,0.443,5.495,20,1,1,1,0,18505.38
Quantum Stack,Bio/Health,Seed,US,Visionary,0.842,0.608,0.61,0.647,0.52,30,0,8,1,26,10,2,1256549.94,6641.13,0.1,169550.1,96760.6,12.172,0.16,3,0.214,0.067,0.491,2,0.495,22.289,12,0,0,1,0,7820.39
Zen Systems,Hardware,Seed,UK,Visionary,0.786,0.369,0.689,0.511,0.472,29,0,18,0,26,5,2,36983217.91,0.0,0.036,320402.39,102589.04,20.0,0.244,0,0.686,0.171,0.523,1,0.456,3.223,6,1,0,1,0,0.0
Sigma Forge,Fintech,Seed,SEA,Operator,0.638,0.73,0.539,0.664,0.477,33,0,10,1,18,8,1,2452796.11,16382.62,0.068,568468.59,31261.85,2.351,0.255,2,0.516,0.242,0.648,1,0.224,22.975,11,0,0,1,0,38193.85
Spark Forge,DevTools,Pre-Seed,LatAm,Engineer,0.67,0.676,0.34,0.665,0.363,36,0,12,1,12,16,0,16700892.54,35759.57,0.255,60464.88,36721.92,0.335,0.126,2,0.541,0.184,0.517,1,0.123,5.068,20,0,0,1,0,37065.5
Nimbus Pulse,Bio/Health,Pre-Seed,US,Operator,0.542,0.79,0.652,0.711,0.426,38,0,7,0,12,14,0,28223069.5,17585.21,0.144,80458.53,63402.95,2.08,0.019,3,0.893,0.603,0.575,2,0.074,20.296,18,0,0,1,0,24203.98
Atlas Works,Fintech,Pre-Seed,US,Operator,0.437,0.667,0.353,0.402,0.24,37,0,23,1,5,4,1,5432324.89,8550.77,0.175,76716.23,20972.76,1.169,0.058,4,0.596,0.263,0.327,1,0.381,10.1,5,0,0,1,0,9120.43
Urban Grid,DevTools,Seed,US,Engineer,0.521,0.702,0.453,0.526,0.491,37,0,20,1,24,8,2,11069622.32,21620.63,0.162,377651.51,42398.77,1.007,0.268,1,0.605,0.017,0.435,3,0.0,5.03,11,1,0,0,1,1166278.77
Zen Grid,DevTools,Seed,US,Operator,0.599,0.787,0.632,0.551,0.323,30,0,18,1,25,10,2,13474978.16,21724.83,0.193,748955.96,17076.75,0.339,0.013,1,0.25,0.256,0.649,3,0.272,7.471,13,1,0,0,1,1050475.82
Zen Analytics,Bio/Health,Seed,EU,Visionary,0.837,0.572,0.65,0.522,0.387,37,0,17,1,29,13,1,11656954.06,35268.93,0.271,442008.16,60280.94,0.526,0.241,2,0.457,0.131,0.549,2,0.374,8.228,17,1,0,1,0,136076.46
Zen Logic,AI/ML,Pre-Seed,US,Visionary,0.827,0.46,0.713,0.636,0.412,36,0,4,0,22,2,1,32363681.15,4529.04,0.313,334869.41,46528.34,2.733,0.125,4,0.561,0.037,0.227,1,0.277,11.009,2,0,0,1,0,5735.68
Flow Stack,Bio/Health,Pre-Seed,UK,Visionary,0.788,0.544,0.617,0.464,0.42,36,0,10,0,6,5,0,6184120.27,7575.62,0.123,54562.13,28800.23,2.569,0.252,2,0.349,0.388,0.569,2,0.122,8.59,6,1,0,1,0,18445.44
Spark Logic,SaaS,Pre-Seed,LatAm,Visionary,0.821,0.512,0.647,0.543,0.291,37,0,8,0,15,3,0,22443378.27,33538.38,0.119,73583.65,31020.11,0.646,0.084,2,0.629,0.76,0.354,1,0.398,13.598,3,1,0,0,1,835226.36
Atlas Bio,Climate,Seed,US,Visionary,0.775,0.405,0.616,0.549,0.542,37,0,10,1,41,10,1,14922497.51,9541.27,0.081,669641.28,128051.81,13.725,0.224,6,0.734,0.184,0.342,1,0.19,9.215,12,1,0,1,0,16145.75
